states,2020-04-20,2020-04-21,2020-04-22
Andaman and Nicobar Islands,0,0,0.0
Andhra Pradesh,20,22,22.0
Arunachal Pradesh,0,0,0.0
Assam,1,1,1.0
Bihar,2,2,2.0
Chandigarh,0,0,0.0
Chhattisgarh,0,0,0.0
Delhi,45,47,47.0
Goa,0,0,0.0
Gujarat,67,77,90.0
Haryana,3,3,3.0
Himachal Pradesh,1,1,1.0
Jammu and Kashmir,5,5,5.0
Jharkhand,2,2,3.0
Karnataka,16,17,17.0
Kerala,3,3,3.0
Ladakh,0,0,0.0
Madhya Pradesh,74,76,76.0
Maharashtra,223,232,251.0
Manipur,0,0,0.0
Meghalaya,1,1,1.0
Mizoram,0,0,0.0
Nagaland,0,0,1.0
Odisha,1,1,0.0
Puducherry,0,0,16.0
Punjab,16,16,25.0
Rajasthan,14,25,18.0
Tamil Nadu,15,17,23.0
Telengana,21,23,0.0
Tripura,0,0,0.0
Uttarakhand,0,0,20.0
Uttar Pradesh,17,20,15.0
West Bengal,12,12,
